categories/folders,Item Code,pic File name,Description,"oz., lb., gram, kg",Pieces Per Case,Price,Price Per Piece,Kashrut
Beans_Seeds_Spices,CHIC0121,CHIC0121.jpg,Roasted Yellow Chickpeas /UNS 28lb,28 lb,28,49.00,$1.75,
Beans_Seeds_Spices,CHIC01,CHIC01.jpg,Roasted Yellow Chickpeas/UNS 22.05,1 box,22.05,38.60,$1.75,
Beans_Seeds_Spices,CHIC011,CHIC01.jpg,Roasted Yellow Chickpeas/UNS 25lb,25 lb,25,43.75,$1.75,
Beans_Seeds_Spices,PUMP04,PUMP02.jpg,Shelled (Papita)  Raw Pumpkin Seeds 27.5lb,,27.5,103.00,$3.75,
Beans_Seeds_Spices,PUMP04I,PUMP02.jpg,Shelled (Papita) Raw Pumpkin Seeds 55lb,,55,137.50,$2.50,
Beans_Seeds_Spices,SUNF011,SUNF011.jpg,Shelled Sunflower Roasted & Unsalted 10lb,,10,20.00,$2.00,
Beans_Seeds_Spices,SPI02,,"Spice Shipper #1 12 X 6 (Gar,Oni,Gar+Salt,Papr,Chic.,Salt Seas)=72 PCS/12oz",,72,54.00,$0.75,
Beans_Seeds_Spices,TUR02,TUR02.jpg,Turmeric 30/4 oz,4 oz,30,40.50,$1.35,
Beans_Seeds_Spices,BEAN03,BEAN03.jpg,White Bean 30/12 oz,12 oz,30,40.50,$1.35,
Beans_Seeds_Spices,BEAN06,BEAN03.jpg,White beans 30/12oz,12 oz,30,45.00,$1.50,
Candles_Household Items,CANDLE995,CANDLE995.jpg,Floating Wicks 5/24 boxes(50 wicks / box),,5,60.00,$12.00,
Candles_Household Items,CANDLE994,CANDLE994.jpg,Glasses For Nerio.Cand.24/2pc Glass,,24,22.80,$0.95,
Candles_Household Items,CANDLE991,CANDLE99.jpg,Havdolah Candle Flat /12 per case (Menora),,12,20.00,$1.67,
Candles_Household Items,CANDLE99,CANDLE99.jpg,Havdolah Candle Round 12 per case (Menora),,12,20.00,$1.67,
Candles_Household Items,CANDLE992,CANDLE992.jpg,Havdolah Candles Bees Wax /12 per case (Menora),,12,24.00,$2.00,
Candles_Household Items,CANDLE961,CANDLE95.jpg,Memorial 26 hrs Candles in Glass /2 x 24 =48 (Menora),,48,24.00,$0.50,
Candles_Household Items,CANDLE96,CANDLE95.jpg,Memorial 26 hrs Candles in Glass /24 (Menora),,24,13.20,$0.55,
Candles_Household Items,CANDLE95,CANDLE95.jpg,Memorial 7 days Candles in Glass /12 (Menora),,12,36.00,$3.00,
Candles_Household Items,CANDLE951,,Memorial 7 days Candles in Plastic /12 (Menora),,12,33.00,$2.75,
Candles_Household Items,CANDLE94,CANDLE94.jpg,Memorial Candle Tins /48 tins (Menora),,48,19.00,$0.40,
Candles_Household Items,CANDLE993,CANDLE993.jpg,Neriot Candles 4 Hours 12/72pc Carton,,12,36.00,$3.00,
